state,timestamp,new_votes,votes_biden
Pennsylvania (EV: 20),2020-11-06 23:26:05.585,1701,1045.0
Pennsylvania (EV: 20),2020-11-06 22:35:03.624,62,34.0
Pennsylvania (EV: 20),2020-11-06 22:24:11.877,363,182.0
Pennsylvania (EV: 20),2020-11-06 22:14:55.472,39,17.0
Pennsylvania (EV: 20),2020-11-06 22:03:00.523,85,46.0
Pennsylvania (EV: 20),2020-11-06 21:39:06.880,529,158.0
Pennsylvania (EV: 20),2020-11-06 21:30:56.743,7,7.0
Pennsylvania (EV: 20),2020-11-06 21:22:20.448,218,113.0
Pennsylvania (EV: 20),2020-11-06 21:14:54.182,113,48.0
Pennsylvania (EV: 20),2020-11-06 21:06:01.641,2070,1263.0
Pennsylvania (EV: 20),2020-11-06 20:58:52.037,2965,1808.0
Pennsylvania (EV: 20),2020-11-06 20:51:21.699,479,206.0
Pennsylvania (EV: 20),2020-11-06 20:30:39.158,4,1.0
Pennsylvania (EV: 20),2020-11-06 20:17:51.562,255,152.0
Pennsylvania (EV: 20),2020-11-06 19:22:14.276,383,236.0
Pennsylvania (EV: 20),2020-11-06 19:13:48.402,30,10.0
Pennsylvania (EV: 20),2020-11-06 19:11:02.226,1869,1010.0
Pennsylvania (EV: 20),2020-11-06 18:59:15.457,177,107.0
Pennsylvania (EV: 20),2020-11-06 18:40:11.567,18,11.0
Pennsylvania (EV: 20),2020-11-06 18:24:05.733,4143,2569.0
Pennsylvania (EV: 20),2020-11-06 17:53:42.779,6984,4840.0
Pennsylvania (EV: 20),2020-11-06 17:05:29.263,2617,1753.0
Pennsylvania (EV: 20),2020-11-06 16:41:57.998,300,69.0
Pennsylvania (EV: 20),2020-11-06 16:15:24.101,4891,3574.0
Pennsylvania (EV: 20),2020-11-06 16:03:11.367,64,24.0
Pennsylvania (EV: 20),2020-11-06 15:27:32.445,24,16.0
Pennsylvania (EV: 20),2020-11-06 15:23:29.360,15,9.0
Pennsylvania (EV: 20),2020-11-06 15:11:34.806,136,109.0
Pennsylvania (EV: 20),2020-11-06 14:58:41.776,2949,2041.0
Pennsylvania (EV: 20),2020-11-06 14:55:24.663,306,169.0
Pennsylvania (EV: 20),2020-11-06 13:52:37.632,31412,27621.0
Pennsylvania (EV: 20),2020-11-06 12:48:04.678,27,12.0
Pennsylvania (EV: 20),2020-11-06 12:23:27.025,-280,-47.0
Pennsylvania (EV: 20),2020-11-06 06:30:57.892,5878,5142.0
Pennsylvania (EV: 20),2020-11-06 05:05:06.029,5549,3471.0
Pennsylvania (EV: 20),2020-11-06 04:59:00.678,0,0.0
Pennsylvania (EV: 20),2020-11-06 04:51:40.651,1254,894.0
Pennsylvania (EV: 20),2020-11-06 04:29:30.258,3865,2865.0
Pennsylvania (EV: 20),2020-11-06 03:45:43.783,13909,12147.0
Pennsylvania (EV: 20),2020-11-06 03:33:20.409,8046,6416.0
Pennsylvania (EV: 20),2020-11-06 03:16:43.516,2431,1641.0
Pennsylvania (EV: 20),2020-11-06 02:37:26.682,15150,10971.0
Pennsylvania (EV: 20),2020-11-06 02:07:55.159,4035,2934.0
Pennsylvania (EV: 20),2020-11-06 01:52:07.763,7474,5025.0
Pennsylvania (EV: 20),2020-11-06 01:33:55.993,9975,7540.0
Pennsylvania (EV: 20),2020-11-06 01:26:00.010,4130,3313.0
Pennsylvania (EV: 20),2020-11-06 01:22:40.311,8867,5949.0
Pennsylvania (EV: 20),2020-11-06 00:55:18.438,936,742.0
Pennsylvania (EV: 20),2020-11-06 00:35:53.742,545,164.0
Pennsylvania (EV: 20),2020-11-06 00:11:13.094,12480,10992.0
Pennsylvania (EV: 20),2020-11-05 23:59:07.363,205,81.0
Pennsylvania (EV: 20),2020-11-05 23:51:41.200,4634,3183.0
Pennsylvania (EV: 20),2020-11-05 23:30:04.892,4416,3666.0
Pennsylvania (EV: 20),2020-11-05 23:25:57.686,405,0.0
Pennsylvania (EV: 20),2020-11-05 22:53:30.574,35858,23861.0
Pennsylvania (EV: 20),2020-11-05 22:45:37.954,1333,927.0
Pennsylvania (EV: 20),2020-11-05 22:15:13.564,12,6.0
Pennsylvania (EV: 20),2020-11-05 21:53:18.781,13957,9565.0
Pennsylvania (EV: 20),2020-11-05 21:45:23.890,6636,4099.0
Pennsylvania (EV: 20),2020-11-05 21:29:17.300,1830,1259.0
Pennsylvania (EV: 20),2020-11-05 21:21:19.035,86,39.0
Pennsylvania (EV: 20),2020-11-05 21:05:33.368,13746,11464.0
Pennsylvania (EV: 20),2020-11-05 20:48:22.279,4486,2927.0
Pennsylvania (EV: 20),2020-11-05 20:40:29.018,942,590.0
Pennsylvania (EV: 20),2020-11-05 20:15:28.984,34,12.0
Pennsylvania (EV: 20),2020-11-05 20:01:34.938,3862,2034.0
Pennsylvania (EV: 20),2020-11-05 19:37:18.729,3349,2172.0
Pennsylvania (EV: 20),2020-11-05 19:32:33.174,4226,2930.0
Pennsylvania (EV: 20),2020-11-05 19:12:36.957,4515,3589.0
Pennsylvania (EV: 20),2020-11-05 18:24:54.828,2451,1393.0
Pennsylvania (EV: 20),2020-11-05 18:15:33.270,3076,1905.0
Pennsylvania (EV: 20),2020-11-05 17:21:28.630,3003,2066.0
Pennsylvania (EV: 20),2020-11-05 17:02:19.461,8193,6939.0
Pennsylvania (EV: 20),2020-11-05 16:59:05.814,67,34.0
Pennsylvania (EV: 20),2020-11-05 16:49:58.388,13114,12000.0
Pennsylvania (EV: 20),2020-11-05 16:43:40.593,4507,3526.0
Pennsylvania (EV: 20),2020-11-05 16:08:12.562,73,59.0
Pennsylvania (EV: 20),2020-11-05 15:26:46.982,554,269.0
Pennsylvania (EV: 20),2020-11-05 15:12:31.777,103,76.0
Pennsylvania (EV: 20),2020-11-05 14:36:33.884,13724,10514.0
Pennsylvania (EV: 20),2020-11-05 14:10:28.150,32633,27413.0
Pennsylvania (EV: 20),2020-11-05 04:22:05.599,38652,28785.0
Pennsylvania (EV: 20),2020-11-05 03:57:56.031,1318,567.0
Pennsylvania (EV: 20),2020-11-05 03:53:39.589,5743,3734.0
Pennsylvania (EV: 20),2020-11-05 03:16:30.149,4549,3471.0
Pennsylvania (EV: 20),2020-11-05 02:47:23.734,10173,7231.0
Pennsylvania (EV: 20),2020-11-05 02:26:44.708,1285,1059.0
